S.no,Description,Question,Answer
22,KKR during the IPL Player Auction,__ during the IPL Player Auction,Kolkata Knight Riders
23,Hyderabad during the IPL Player Auction,____ during the IPL Player Auction,Sunrisers Hyderabad
24,Muttiah Muralitharan chats during the IPL Player Auction,___________ chats during the IPL Player Auction,Muttiah Muralitharan
25,CSK during the IPL Player Auction,___ during the IPL Player Auction,CSK
26,RCB during the IPL Player Auction,___ during the IPL Player Auction,RCB
27,GV during the IPL Player Auction,___________,GV
28,GV during the IPL Player Auction,___________,GV
29,Akash Ambani and Mrs Nita Ambani during the IPL Player Auction,___________ and Mrs Nita Ambani of MI during IPL auction,Akash Ambani
30,Mrs Nita Ambani during the IPL Player Auction,___________ of MI during IPL auctions,Mrs Nita Ambani
31,Delhi bid during the IPL Player Auction,___________ bid during IPL auctions,Delhi
32,Delhi celebrate getting their man during the IPL Player Auction,___________ celebrate getting their man during auction,Delhi
33,Mrs Nita Ambani during the IPL Player Auction,___ of MI during the IPL Player Auction,Mrs Nita Ambani
34,GV during the IPL Player Auction,___________,GV
35,GV during the IPL Player Auction,___________,GV
36,Sourav Ganguly during the IPL Player Auction,"______, BCCI President during auctions.",Sourav Ganguly
37,Sourav Ganguly during the IPL Player Auction,"______, BCCI President during auctions.",Sourav Ganguly
38,Sourav Ganguly during the IPL Player Auction,"______, BCCI President during auctions.",Sourav Ganguly
39,Teams Kings X1 during the IPL Player Auction,___________ during IPL auctions.,Teams Kings XI
40,RR during the IPL Player Auction,___________ during IPL auctions.,Rajasthan Royals
41,Simon Katich during the IPL Player Auction,___________ of Australia during IPL auctions.,Simon Katich
42,Akash Ambani and Nita Ambani during the IPL Player Auction,_______ and mother Mrs Nita Ambani shown chatting,Akash Ambani
43,Brendon McCullum during the IPL Player Auction,___________ from New Zealand in the players auction.,Brendon McCullum
44,Team Kings X1 during the IPL Player Auction,___________ is the IPL team shown in the image.,Team Kings XI
45,RCH chat during the IPL Player Auction,___________ management chats during auctions.,RCB
46,Venky Mysore during the IPL Player Auction,"___________, CEO of KKR chatting during auctions.",Venky Mysore
47,Venky Mysore during the IPL Player Auction,"___________, CEO of KKR chatting during auctions.",Venky Mysore
48,Mrs Nita Ambani during the IPL Player Auction,"____, wife of Mukesh Amani, during the IPL Player Auction",Mrs Nita Ambani
49,Akash Ambani during the IPL Player Auction,"____, son of Mukesh Amani, during the IPL Player Auction",Akash Ambani
50,Mahela Jayawardene chats with Stephen Fleming during the IPL Player Auction,___________ chats with Stephen Fleming during an IPL interaction,Mahela Jayawardene
51,Mahela Jayawardene chats with Stephen Fleming during the IPL Player Auction,___________ chats with Stephen Fleming during an IPL interaction,Mahela Jayawardene
52,Mahela Jayawardene chats with Stephen Fleming during the IPL Player Auction,___________ chats with Stephen Fleming during an IPL interaction,Mahela Jayawardene
53,VVS Laxman during the IPL Player Auction,"___________, former Indian cricketer shown chatting, during auctions.",VVS Laxman
54,Muttiah Muralitharan during the IPL Player Auction,"___________, ex- Sri Lankan cricketer during IPL auctions.",Muttiah Muralitharan
55,Stephen Fleming during the IPL Player Auction,"___________, ex New Zealand cricketer shown chatting, during auctions.",Stephen Fleming
56,Stephen Fleming during the IPL Player Auction,"___________, ex New Zealand cricketer shown chatting, during auctions.",Stephen Fleming
57,Akash Ambani with Mrs Nita Ambani during the IPL Player Auction,___________ with Mrs Nita Ambani,Akash Ambani
58,Akash Ambani with Mrs Nita Ambani during the IPL Player Auction,___________ with Mrs Nita Ambani,Akash Ambani
59,RCB discuss a player during the IPL Player Auction,___________ team discuss a player during auction,RCB
60,Delhi discuss a player during the IPL Player Auction,___________ team discuss a player during auction,Delhi Capitals
61,Royals bid during the IPL Player Auction,___________ management bid for a player during auctions.,Rajasthan Royals
62,KXIP make a bid during the IPL Player Auction,___________ management bid for a player during auctions.,KXIP
63,Royals bid during the IPL Player Auction,___________ management bid for a player during auctions.,Rajasthan Royals
64,Delhi make a bid during the IPL Player Auction,___________ management bid for a player during auctions.,Delhi
65,Delhi discuss a player during the IPL Player Auction,___________ team discuss a player during auction,Delhi
66,"Mr Gautam Thakar, CEO, Star Sports during the IPL Player Auction",___________,"Mr Gautam Thakar, CEO, Star Sports"
67,"Mr Gautam Thakar, CEO, Star Sports during the IPL Player Auction",___________,"Mr Gautam Thakar, CEO, Star Sports"
68,"Mr Gautam Thakar, CEO, Star Sports during the IPL Player Auction",___________,"Mr Gautam Thakar, CEO, Star Sports"
69,Royals discuss a player during the IPL Player Auction,___________ discuss a player,Royals
70,RCB bid during the IPL Player Auction,___________ bid,RCB
71,"Mr Gautam Thakar, CEO, Star Sports during the IPL Player Auction",___________,"Mr Gautam Thakar, CEO, Star Sports"
72,Auctioneer Hugh Meades during the IPL Player Auction,___________,Auctioneer Hugh Meades
73,Auctioneer Hugh Meades with Brijesh patel IPl Chairman during the IPL Player Auction,___________ with Brijesh patel IPl Chairman,Auctioneer Hugh Meades
74,Brijesh patel IPl Chairman during the IPL Player Auction,___________ IPl Chairman during the auctions.,Brijesh Patel
75,Delhi make a bid during the IPL Player Auction,___________ management bid for a player during auctions.,Delhi
76,KKR make a bid during the IPL Player Auction,___________ management bid for a player during auctions.,KKR
77,Brendon McCullum during the IPL Player Auction,"___________, ex New Zealand cricketer shown chatting, during auctions.",Brendon McCullum
78,Rajasthan in negotiations during the IPL Player Auction,___________ in negotiations,Rajasthan
79,RCB during the IPL Player Auction,___________,RCB
80,Brendon McCullum during the IPL Player Auction,___________,Brendon McCullum
81,Muttiah Muralitharan during the IPL Player Auction,___________,Muttiah Muralitharan
82,RCB bid during the IPL Player Auction,___________ bid,RCB
83,Jerome Chen CEO of Vivo India with Hugh Meades during the IPL Player Auction,___________ of Vivo India with Hugh Meades,Jerome Chen CEO
84,during the IPL Player Auction,___________,
85,Mrs Nita and Mukesh Ambani during the IPL Player Auction,___________ and Mukesh Ambani,Mrs Nita
86,Sundar Raman during the IPL Player Auction,___________ of BCCI during IPL auctions.,Sundar Raman
87,Mrs Nita and Mukesh Ambani during the IPL Player Auction,___________ and Mukesh Ambani,Mrs Nita
88,Mrs Nita and Mukesh Ambani during the IPL Player Auction,___________ and Mukesh Ambani,Mrs Nita
89,RCB in during the IPL Player Auction,___________ in,RCB
90,Jerome Chen CEO of Vivo India during the IPL Player Auction,___________ of Vivo India,Jerome Chen CEO
91,Jerome Chen CEO of Vivo India during the IPL Player Auction,___________ of Vivo India,Jerome Chen CEO
92,during the IPL Player Auction,"________, President of BCCI sharing a casual moment during auctions.",Sourav Ganguly
93,during the IPL Player Auction,"________, President of BCCI sharing a casual moment during auctions.",Sourav Ganguly
94,during the IPL Player Auction,"________, President of BCCI sharing a casual moment during auctions.",Sourav Ganguly
95,during the IPL Player Auction,"________, President of BCCI sharing a casual moment during auctions.",Sourav Ganguly
96,during the IPL Player Auction,___________ of BCCI during IPL auctions.,Brijesh Patel
97,during the IPL Player Auction,"________, President of BCCI sharing a casual moment during auctions.",Sourav Ganguly
98,during the IPL Player Auction,___________,
99,during the IPL Player Auction,___________,
100,during the IPL Player Auction,"_________, BCCI President with Brijesh Patel of BCCI",Sourav Ganguly
101,during the IPL Player Auction,"_________, BCCI President with Brijesh Patel of BCCI",Sourav Ganguly
102,during the IPL Player Auction,"_________, BCCI President with Brijesh Patel of BCCI",Sourav Ganguly
103,during the IPL Player Auction,"_________, BCCI President with Brijesh Patel of BCCI",Sourav Ganguly
104,during the IPL Player Auction,___________ team management during IPL auctions,Rajasthan
105,during the IPL Player Auction,___________ team management during IPL auctions,
106,during the IPL Player Auction,___________ team management during IPL auctions,
107,during the IPL Player Auction,___________ team management during IPL auctions,
108,during the IPL Player Auction,___________ team management during IPL auctions,
109,during the IPL Player Auction,___________ team management during IPL auctions,
110,during the IPL Player Auction,___________ team management during IPL auctions,
111,during the IPL Player Auction,___________ team management during IPL auctions,
112,during the IPL Player Auction,___________,
113,during the IPL Player Auction,___________,
114,during the IPL Player Auction,___________,
115,during the IPL Player Auction,___________,
116,during the IPL Player Auction,___________,
117,during the IPL Player Auction,___________,
118,during the IPL Player Auction,___________,
119,during the IPL Player Auction,___________,
120,during the IPL Player Auction,___________,
121,during the IPL Player Auction,___________,
122,GV during the IPL Player Auction,___________,GV
123,GV during the IPL Player Auction,___________,GV
124,GV during the IPL Player Auction,___________,GV
125,GV during the IPL Player Auction,___________,GV
126,Akash Ambani arrives during the IPL Player Auction,___________ arrives,Akash Ambani
127,Akash Ambani chats with Hugh Meades the IPL Auctioneer during the IPL Player Auction,___________ chats with Hugh Meades the IPL Auctioneer,Akash Ambani
128,during the IPL Player Auction,___________,
129,GV of the IPL trophy during the IPL Player Auction,___________ of the IPL trophy,GV
130,"GV during the IPL Player Auction ahead of the 2020 season held at the ITCRoyal Bengal , Kolkata on the 19th December 2019

Photo by Ron Gaunt / Sportzpics for IPL",___________,GV
131,"BCCI president Sourav Ganguly arrives with Brijesh patel IPl Chairman during the IPL Player Auction ahead of the 2020 season held at the ITCRoyal Bengal , Kolkata on the 19th December 2019

Photo by Ron Gaunt / Sportzpics for IPL",___________ arrives with Brijesh patel IPl Chairman,BCCI president Sourav Ganguly
132,"GV during the IPL Player Auction ahead of the 2020 season held at the ITCRoyal Bengal , Kolkata on the 19th December 2019

Photo by Ron Gaunt / Sportzpics for IPL",___________,GV
133,"GV during the IPL Player Auction ahead of the 2020 season held at the ITCRoyal Bengal , Kolkata on the 19th December 2019

Photo by Ron Gaunt / Sportzpics for IPL",___________,GV
134,"GV during the IPL Player Auction ahead of the 2020 season held at the ITCRoyal Bengal , Kolkata on the 19th December 2019

Photo by Ron Gaunt / Sportzpics for IPL",___________,GV
135,"Nita Ambani, Owner, Mumbai along with Mumbai players with the winning trophy during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________, wife of Mukesh Ambani, with Mumbai players and trophy",Nita Ambani
136,"Nita Ambani, Owner, Mumbai along with Mumbai players with the winning trophy during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________, wife of Mukesh Ambani, with Mumbai players and trophy",Nita Ambani 
137,"Nita Ambani, Owner, Mumbai along with Mumbai players with the winning trophy during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________, wife of Mukesh Ambani, with Mumbai players and trophy",Nita Ambani
138,"Mumbai players with the winning trophy during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ players with the winning trophy of IPL 2019,Mumbai Indians
139,"Mumbai players with the winning trophy during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ players with the winning trophy of IPL 2020,Mumbai Indians
140,"Rohit Sharma of Mumbai receives winners cheque during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai receives winners cheque,Rohit Sharma
141,"MS Dhoni of CSK receives Runners up cheque during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK receives Runners up cheque,MS Dhoni
142,"Imran Tahir of CSK receives Purple Cap during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK receives Purple Cap,Imran Tahir
143,"Mentor, Hyderabad, VVV Laxman receives Orange Cap award on behalf off David Warner of Hyderabad during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ receives Orange Cap award on behalf of David Warner,VVS Laxman
144,"Rahul Chahar of Mumbai receives Dream11 Gamechanger of the season award during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai receives Dream11 Gamechanger award,Rahul Chahar
145,"Hardik Pandya of Mumbai receives fhb stylish player of the season award on behalf off KL Rahul of KXIP during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___ of Mumbai receives FHB stylish player on behalf of KL Rahul,Hardik Pandya
146,"Subham Gill of KKRreceives Harrier Super Striker of the Season award on behalf off Andre Russel of KKRduring the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",____ receives Harrier Super Striker award on behalf of Andre Russel,Subham Gill
147,"Hardik Pandya of Mumbai and Krunal Pandya of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai and Krunal Pandya of Mumbai celebrate IPL win,Hardik Pandya
148,"Kieron Pollard of Mumbai receives Vivo Perfect catch of the season award during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai receives Vivo Perfect catch of the season award,Kieron Pollard
149,"Hardik Pandya of Mumbai and Lasith Malinga of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ and Lasith Malinga of Mumbai celebrate winning IPL 12,Hardik Pandya
150,"Hardik Pandya of Mumbai and Lasith Malinga of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ and Lasith Malinga of Mumbai celebrate winning IPL 12,Hardik Pandya
151,"Hardik Pandya of Mumbai receives Hotstar VIP fastest 50 of the season award during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai receives Hotstar VIP fastest 50 of the season 12,Hardik Pandya
152,"Mumbai team after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ team after winning the final of the IPL Season 12,Mumbai Indians
153,"Mumbai team after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ team after winning the final of the IPL Season 12,Mumbai Indians
154,"Jasprit Bumrah of Mumbai receives Man of the match award during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai receives Man of the match award,Jasprit Bumrah
155,"Rahul Chahar of Mumbai receives Dream11 Game changer of the match award during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai receives Dream11 Game changer award,Rahul Chahar
156,"during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________,
157,"Mumbai are crowned champions during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ are crowned champions,Mumbai Indians
158,"Kieron Pollard of Mumbai receives fbb stylish player of the match award during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai receives fbb stylish player of the match award,Kieron Pollard
159,"Dignitaries on the podium during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ on the podium,Dignitaries
160,"Mumbai are crowned champions during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ are crowned champions,Mumbai Indians
161,"Mumbai are crowned champions during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ are crowned champions,Mumbai Indians
162,"Rohit Sharma captain of Mumbai after the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ captain of Mumbai after the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Rohit Sharma
163,"Nita Ambani owner of Mumbai with team celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ owner of Mumbai with team celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Nita Ambani
164,"Nita Ambani owner of Mumbai with team celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ owner of Mumbai with team celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Nita Ambani
165,"Nita Ambani owner of Mumbai with team celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ owner of Mumbai with team celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Nita Ambani
166,"Nita Ambani owner of Mumbai with team celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ owner of Mumbai with team celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Nita Ambani
167,"Nita Ambani owner of Mumbai and Sachin Tendulkar icon player of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ owner of Mumbai and Sachin Tendulkar icon player of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Nita Ambani
168,"Nita Ambani owner of Mumbai and Sachin Tendulkar icon player of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ owner of Mumbai and Sachin Tendulkar icon player of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Nita Ambani
169,"Nita Ambani owner of Mumbai and Akash Ambani owner of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ owner of Mumbai and Akash Ambani owner of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Nita Ambani
170,"Mumbai team in dugout celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ team in dugout celebrates after winning the final of the IPLSeason 12, 2019 between the ___________ and the CSK",Mumbai Indians
171,"Mumbai team in dugout celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ team in dugout celebrates after winning the final of the IPLSeason 12, 2019 between the ___________ and the CSK",Mumbai Indians
172,"Mumbai are crowned champions during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ are crowned champions,Mumbai Indians
173,"Mumbai are crowned champions during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ are crowned champions,Mumbai Indians
174,"Hardik Pandya of Mumbai and Krunal Pandya of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ of Mumbai and Krunal Pandya of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Hardik Pandya
175,"Hardik Pandya of Mumbai and Lasith Malinga of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ of Mumbai and Lasith Malinga of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Hardik Pandya
176,"Hardik Pandya of Mumbai and Lasith Malinga of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ of Mumbai and Lasith Malinga of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Hardik Pandya
177,"Mumbai team after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ team after winning the final of the IPLSeason 12, 2019 between the ___________ and the CSK",Mumbai Indians
178,"Mumbai team after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ team after winning the final of the IPLSeason 12, 2019 between the ___________ and the CSK",Mumbai Indians
179,"Mumbai are crowned champions during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ are crowned champions,Mumbai Indians
180,"Mumbai are crowned champions during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ are crowned champions,Mumbai Indians
181,"Mumbai are crowned champions during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ are crowned champions,Mumbai Indians
182,"Mumbai are crowned champions during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ are crowned champions,Mumbai Indians
183,"Mumbai players with the winning trophy during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ players with the winning trophy,Mumbai Indians
184,"Mumbai players with the winning trophy during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ players with the winning trophy,Mumbai Indians
185,"Rohit Sharma of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ of Mumbai celebrates after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Rohit Sharma
186,"Akash Ambani celebrates after wining the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ celebrates after wining the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Akash Ambani
187,"Mumbai Owner, Nita Ambani greets Lasith Malinga of Mumbai after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ greets Lasith Malinga of Mumbai after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","Mumbai Indians Owner, Nita Ambani"
188,"Lasith Malinga of Mumbai along with Mumbai players celebrate after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ of Mumbai along with Mumbai players celebrate after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Lasith Malinga
189,"Lasith Malinga of Mumbai along with Mumbai players celebrate after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ of Mumbai along with Mumbai players celebrate after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Lasith Malinga
190,"Mumbai players celebrate after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ players celebrate after winning the final of the IPLSeason 12, 2019 between the ___________and the CSK",Mumbai Indians
191,"Mumbai players celebrate after winning the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ players celebrate after winning the final of the IPLSeason 12, 2019 between the ___________and the CSK",Mumbai Indians
192,"Quinton de Kock of Mumbai run out Shane Watson of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai runs out Shane Watson of CSK,Quinton de Kock
193,"Jasprit Bumrah of Mumbai celebrates the wicket of Dwayne Bravo of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Dwayne Bravo of CSK,Jasprit Bumrah
194,"Jasprit Bumrah of Mumbai celebrates the wicket of Dwayne Bravo of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Who is shown celebrating?,Jasprit Bumrah
195,"Jasprit Bumrah of Mumbai reacts after Rahul Chahar of Mumbai dropping the catch of Shane Watson of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Who is shown reacting after a dropped catch?,Jasprit Bumrah
196,"Rahul Chahar of Mumbai drops the catch of Shane Watson of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",Who is the player who has dropped the catch here?,Rahul Chahar
197,"Shane Watson of CSK plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK plays a shot,Shane Watson
198,"Rahul Chahar of Mumbai drops catch of Shane Watson of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai drops catch of Shane Watson of CSK,Rahul Chahar
199,"Rahul Chahar of Mumbai drops the catch of Shane Watson of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai drops the catch of Shane Watson of CSK,Rahul Chahar
200,"Shane Watson of CSK plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK plays a shot,Shane Watson
201,"Shane Watson of CSK raises his bat after scoring a fifty runs during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK raises his bat after scoring a fifty runs,Shane Watson
202,"Dwayne Bravo of CSK plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK plays a shot,Dwayne Bravo
203,"Dwayne Bravo of CSK bats during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK bats,Dwayne Bravo
204,"Shane Watson of CSK raises his bat after scoring a fifty during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK raises his bat after scoring a fifty,Shane Watson
205,"Annu Malik singer and Musucian during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________, singer and Musician, in the dug-out.",Annu Malik
206,"Nita Ambani owner of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ owner of Mumbai clapping.,Nita Ambani
207,"Nita Ambani owner of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ owner of Mumbai seen nervous.,Nita Ambani
208,"MS Dhoni of CSK waits for third umpire decision during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK waits for third umpire decision,MS Dhoni
209,"Mumbai players wait for third umpire decision for the runout of MS Dhoni of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ players wait for third umpire decision,Mumbai Indians
210,"Ishan Kishan of Mumbai reacts after dismissing MS Dhoni of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai reacts after dismissing MS Dhoni of CSK,Ishan Kishan
211,"Hardik Pandya of Mumbai bowls during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai bowls,Hardik Pandya
212,"MS Dhoni of CSK gets run out during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK gets run out,MS Dhoni
213,"Ishan Kishan of Mumbai celebrates after MS Dhoni captain of CSK wicket during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates after MS Dhoni's wicket,Ishan Kishan
214,"Hardik Pandya of Mumbai celebrates the wicket of MS Dhoni captain of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of MS Dhoni,Hardik Pandya
215,"Mumbai players celebrate the wicket of MS Dhoni captain of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ players celebrate the wicket of MS Dhoni captain of CSK,Mumbai Indians
216,"MS Dhoni captain of CSK gets run out during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK","___________ , captain of CSK, gets run out",MS Dhoni
217,"Jasprit Bumrah of Mumbai celebrates the wicket of Ambati Rayudu of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Ambati Rayudu of CSK,Jasprit Bumrah
218,"Jasprit Bumrah of Mumbai celebrates the wicket of Ambati Rayudu of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Ambati Rayudu of CSK,Jasprit Bumrah
219,"Shane Watson of CSK plays a shot during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of CSK plays a shot,Shane Watson
220,"Jasprit Bumrah of Mumbai celebrates the wicket of Ambati Rayudu of CSK during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ of Mumbai celebrates the wicket of Ambati Rayudu of CSK,Jasprit Bumrah
221,"Nita Ambani owner of Mumbai and Akash Ambani owner of Mumbai during the final of the IPLSeason 12, 2019 between the Mumbai and the CSK",___________ owner of Mumbai and Akash Ambani owner of Mumbai,Nita Ambani
